Entity,Attribute,Type,Primary Key,Foreign Key,Related Entity
Cliente,id_cliente,INT,Yes,,
Cliente,nombre,VARCHAR(255),No,,
Cliente,correo_electrónico,VARCHAR(255),No,,
Cliente,preferencias_dietéticas,VARCHAR(255),No,,
Cliente,saldo_puntos_fidelidad,INT,No,,
Producto,id_producto,INT,Yes,,
Producto,nombre,VARCHAR(255),No,,
Producto,descripción,VARCHAR(255),No,,
Producto,precio,DECIMAL(10,2),No,,
Producto,stock,INT,No,,
Producto,categoría,VARCHAR(255),No,,
Pedido,id_pedido,INT,Yes,,
Pedido,fecha,DATE,No,,
Pedido,estado,VARCHAR(255),No,,
Pedido,monto_total,DECIMAL(10,2),No,,
Carrito,id_carrito,INT,Yes,,
Carrito,fecha_creación,DATE,No,,
Inventario,id_inventario,INT,Yes,,
Inventario,cantidad_disponible,INT,No,,
Inventario,alerta_stock_bajo,BOOLEAN,No,,
Administrador,id_administrador,INT,Yes,,
Administrador,nombre,VARCHAR(255),No,,
Administrador,correo_electrónico,VARCHAR(255),No,,
Recompensas,id_recompensa,INT,Yes,,
Recompensas,puntos_necesarios,INT,No,,
Recompensas,descripción,VARCHAR(255),No,,
DetallePedido,id_detalle,INT,Yes,,
DetallePedido,id_pedido,INT,No,Yes,Pedido
DetallePedido,id_producto,INT,No,Yes,Producto